1 -4.92894e-009 -7.73619e-006 -0.0241693 -4.92894e-009 0.999999 -0.00127425 -0.00537111 7.73619e-006 0.00127425 0.999999 0.626865
0.999998 -2.57183e-006 -0.00176124 -1.#IND -2.57183e-006 0.999996 -0.00292046 -1.#IND 0.00176124 0.00292046 0.999994 1.#INF
0.999978 -1.25099e-005 -0.00669917 -1.#IND -1.25099e-005 0.999993 -0.00373471 -1.#IND 0.00669917 0.00373471 0.999971 -1.#IND
0.999969 -2.24549e-005 -0.00783096 -1.#IND -2.24549e-005 0.999984 -0.00573476 -1.#IND 0.00783096 0.00573476 0.999953 -1.#IND
0.99995 -4.09813e-005 -0.0100448 -1.#IND -4.09813e-005 0.999967 -0.00815934 -1.#IND 0.0100448 0.00815934 0.999916 -1.#IND
0.999926 -5.07888e-005 -0.0122043 -1.#IND -5.07888e-005 0.999965 -0.00832266 -1.#IND 0.0122043 0.00832266 0.999891 -1.#IND
0.999925 -5.12142e-005 -0.0122305 -1.#IND -5.12142e-005 0.999965 -0.00837437 -1.#IND 0.0122305 0.00837437 0.99989 -1.#IND
0.999866 -7.00785e-005 -0.0163432 -1.#IND -7.00785e-005 0.999963 -0.00857511 -1.#IND 0.0163432 0.00857511 0.99983 -1.#IND
0.999857 -9.60788e-005 -0.0169401 -1.#IND -9.60788e-005 0.999936 -0.0113422 -1.#IND 0.0169401 0.0113422 0.999792 -1.#IND
0.999847 -0.000131698 -0.0174722 -1.#IND -0.000131698 0.999886 -0.0150731 -1.#IND 0.0174722 0.0150731 0.999734 -1.#IND
0.999753 -0.000213311 -0.0222307 -1.#IND -0.000213311 0.999816 -0.0191865 -1.#IND 0.0222307 0.0191865 0.999569 -1.#IND
0.999758 -0.000205823 -0.0219754 -1.#IND -0.000205823 0.999825 -0.0187282 -1.#IND 0.0219754 0.0187282 0.999583 -1.#IND
